Uid,Sid,Key,Time,Value,UpdateTime
1874626758,hlth.gen_149873187881538,steps,1769905080,"{""time"":1769905080,""steps"":102,""distance"":61,""calories"":4.08}",1769942719
1874626758,hlth.gen_149873187881538,calories,1769905020,"{""time"":1769905020,""calories"":3.8799999}",1769942719
1874626758,hlth.gen_149873187881538,steps,1769905020,"{""time"":1769905020,""steps"":97,""distance"":58,""calories"":3.8799999}",1769942719
1874626758,hlth.gen_149873187881538,calories,1769904960,"{""time"":1769904960,""calories"":3.76}",1769942719
1874626758,hlth.gen_149873187881538,steps,1769904960,"{""time"":1769904960,""steps"":94,""distance"":56,""calories"":3.76}",1769942719
1874626758,hlth.gen_149873187881538,calories,1769904900,"{""time"":1769904900,""calories"":4}",1769942719
1874626758,hlth.gen_149873187881538,steps,1769904900,"{""time"":1769904900,""steps"":100,""distance"":60,""calories"":4}",1769942719
1874626758,hlth.gen_149873187881538,calories,1769904840,"{""time"":1769904840,""calories"":3.1599998}",1769942719
1874626758,hlth.gen_149873187881538,steps,1769904840,"{""time"":1769904840,""steps"":79,""distance"":47,""calories"":3.1599998}",1769942719
1874626758,hlth.gen_149873187881538,steps,1769904300,"{""time"":1769904300,""steps"":12,""distance"":7,""calories"":0.48}",1769942719
1874626758,hlth.gen_149873187881538,calories,1769904300,"{""time"":1769904300,""calories"":0.48}",1769942719
1874626758,hlth.gen_149873187881538,steps,1769904180,"{""time"":1769904180,""steps"":18,""distance"":10,""calories"":0.71999997}",1769942719
1874626758,hlth.gen_149873187881538,calories,1769904180,"{""time"":1769904180,""calories"":0.71999997}",1769942719
1874626758,hlth.gen_149873187881538,calories,1769903940,"{""time"":1769903940,""calories"":0.44}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769903940,"{""time"":1769903940,""steps"":11,""distance"":6,""calories"":0.44}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898960,"{""time"":1769898960,""calories"":2.2}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898960,"{""time"":1769898960,""steps"":55,""distance"":33,""calories"":2.2}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898900,"{""time"":1769898900,""calories"":2.48}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898900,"{""time"":1769898900,""steps"":62,""distance"":37,""calories"":2.48}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898840,"{""time"":1769898840,""calories"":2.84}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898840,"{""time"":1769898840,""steps"":71,""distance"":42,""calories"":2.84}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898780,"{""time"":1769898780,""steps"":68,""distance"":40,""calories"":2.72}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898780,"{""time"":1769898780,""calories"":2.72}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898600,"{""time"":1769898600,""calories"":2}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898600,"{""time"":1769898600,""steps"":50,""distance"":30,""calories"":2}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898540,"{""time"":1769898540,""calories"":0.88}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898540,"{""time"":1769898540,""steps"":22,""distance"":13,""calories"":0.88}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898120,"{""time"":1769898120,""steps"":17,""distance"":10,""calories"":0.68}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898120,"{""time"":1769898120,""calories"":0.68}",1769906487
1874626758,hlth.gen_149873187881538,steps,1769898060,"{""time"":1769898060,""steps"":31,""distance"":18,""calories"":1.24}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769898060,"{""time"":1769898060,""calories"":1.24}",1769906487
1874626758,hlth.gen_149873187881538,calories,1769894820,"{""time"":1769894820,""calories"":1.04}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769894820,"{""time"":1769894820,""steps"":26,""distance"":15,""calories"":1.04}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769894700,"{""time"":1769894700,""calories"":0.76}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769894700,"{""time"":1769894700,""steps"":19,""distance"":11,""calories"":0.76}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769894640,"{""time"":1769894640,""calories"":0.28}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769894640,"{""time"":1769894640,""steps"":7,""distance"":4,""calories"":0.28}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769890080,"{""time"":1769890080,""steps"":25,""distance"":15,""calories"":1}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769890080,"{""time"":1769890080,""calories"":1}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769890020,"{""time"":1769890020,""steps"":16,""distance"":9,""calories"":0.64}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769890020,"{""time"":1769890020,""calories"":0.64}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889960,"{""time"":1769889960,""steps"":61,""distance"":36,""calories"":2.44}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769889960,"{""time"":1769889960,""calories"":2.44}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889900,"{""time"":1769889900,""steps"":50,""distance"":30,""calories"":2}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769889900,"{""time"":1769889900,""calories"":2}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769889840,"{""time"":1769889840,""calories"":2.52}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889840,"{""time"":1769889840,""steps"":63,""distance"":37,""calories"":2.52}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769889780,"{""time"":1769889780,""calories"":3.6799998}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889780,"{""time"":1769889780,""steps"":92,""distance"":55,""calories"":3.6799998}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889720,"{""time"":1769889720,""steps"":99,""distance"":59,""calories"":3.96}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769889720,"{""time"":1769889720,""calories"":5.92}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769889660,"{""time"":1769889660,""calories"":1.8}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889660,"{""time"":1769889660,""steps"":45,""distance"":27,""calories"":1.8}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889600,"{""time"":1769889600,""steps"":74,""distance"":44,""calories"":2.96}",1769894999
1874626758,hlth.gen_149873187881538,calories,1769889600,"{""time"":1769889600,""calories"":2.96}",1769894999
1874626758,hlth.gen_149873187881538,steps,1769889540,"{""time"":1769889540,""steps"":77,""distance"":46,""calories"":3.08}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769889540,"{""time"":1769889540,""calories"":3.08}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769889480,"{""time"":1769889480,""calories"":3.8}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769889480,"{""time"":1769889480,""steps"":95,""distance"":57,""calories"":3.8}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769889420,"{""time"":1769889420,""calories"":2.96}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769889420,"{""time"":1769889420,""steps"":74,""distance"":44,""calories"":2.96}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769889360,"{""time"":1769889360,""calories"":2.8}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769889360,"{""time"":1769889360,""steps"":70,""distance"":42,""calories"":2.8}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769889300,"{""time"":1769889300,""calories"":3.72}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769889300,"{""time"":1769889300,""steps"":93,""distance"":55,""calories"":3.72}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769889240,"{""time"":1769889240,""calories"":3.6}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769889240,"{""time"":1769889240,""steps"":90,""distance"":54,""calories"":3.6}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769889180,"{""time"":1769889180,""calories"":1.88}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769889180,"{""time"":1769889180,""steps"":47,""distance"":28,""calories"":1.88}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888940,"{""time"":1769888940,""steps"":11,""distance"":6,""calories"":0.44}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888940,"{""time"":1769888940,""calories"":0.44}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888880,"{""time"":1769888880,""steps"":12,""distance"":7,""calories"":0.48}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888880,"{""time"":1769888880,""calories"":0.48}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888820,"{""time"":1769888820,""steps"":41,""distance"":24,""calories"":1.64}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888820,"{""time"":1769888820,""calories"":1.64}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888760,"{""time"":1769888760,""steps"":106,""distance"":63,""calories"":4.24}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888760,"{""time"":1769888760,""calories"":4.24}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888700,"{""time"":1769888700,""steps"":115,""distance"":69,""calories"":4.6}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888700,"{""time"":1769888700,""calories"":4.6}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888640,"{""time"":1769888640,""steps"":112,""distance"":67,""calories"":4.48}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888640,"{""time"":1769888640,""calories"":4.48}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888580,"{""time"":1769888580,""steps"":116,""distance"":69,""calories"":4.64}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888580,"{""time"":1769888580,""calories"":4.64}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888520,"{""time"":1769888520,""calories"":3.52}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888520,"{""time"":1769888520,""steps"":88,""distance"":52,""calories"":3.52}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888400,"{""time"":1769888400,""steps"":46,""distance"":27,""calories"":1.8399999}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888400,"{""time"":1769888400,""calories"":1.8399999}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769888340,"{""time"":1769888340,""calories"":0.59999996}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769888340,"{""time"":1769888340,""steps"":15,""distance"":9,""calories"":0.59999996}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769887920,"{""time"":1769887920,""calories"":0.16}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769887920,"{""time"":1769887920,""steps"":4,""distance"":2,""calories"":0.16}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769887860,"{""time"":1769887860,""calories"":0.32}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769887860,"{""time"":1769887860,""steps"":8,""distance"":4,""calories"":0.32}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769874420,"{""time"":1769874420,""steps"":14,""distance"":8,""calories"":0.56}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769874420,"{""time"":1769874420,""calories"":0.56}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769873280,"{""time"":1769873280,""steps"":13,""distance"":7,""calories"":0.52}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769873280,"{""time"":1769873280,""calories"":0.52}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769870460,"{""time"":1769870460,""steps"":30,""distance"":18,""calories"":1.1999999}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769870460,"{""time"":1769870460,""calories"":1.1999999}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769861220,"{""time"":1769861220,""steps"":16,""distance"":9,""calories"":0.64}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769861220,"{""time"":1769861220,""calories"":0.64}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769861160,"{""time"":1769861160,""steps"":12,""distance"":7,""calories"":0.48}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769861160,"{""time"":1769861160,""calories"":0.48}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769860020,"{""time"":1769860020,""steps"":15,""distance"":9,""calories"":0.59999996}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769860020,"{""time"":1769860020,""calories"":0.59999996}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769859720,"{""time"":1769859720,""steps"":20,""distance"":12,""calories"":0.79999995}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769859720,"{""time"":1769859720,""calories"":0.79999995}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769857440,"{""time"":1769857440,""steps"":13,""distance"":7,""calories"":0.52}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769857440,"{""time"":1769857440,""calories"":0.52}",1769892144
1874626758,hlth.gen_149873187881538,steps,1769851200,"{""time"":1769851200,""steps"":13,""distance"":7,""calories"":0.52}",1769892144
1874626758,hlth.gen_149873187881538,calories,1769851200,"{""time"":1769851200,""calories"":0.52}",1769892144
1874626758,xiaomiwear_app_manually,weight,1769813529,"{""time"":1769813529,""weight"":70.0}",1769888951
